Gene,GSM94019,GSM94020,GSM94021,GSM94022,GSM94023,GSM94024,GSM94025,GSM94026,GSM94027,GSM94028,GSM94029,GSM94030,GSM94031,GSM94032,GSM94033,GSM94034,GSM94035,GSM94036,GSM94037,GSM94038,GSM94039,GSM94040,GSM94041,GSM94042,GSM94043,GSM94044,GSM94045,GSM94046,GSM94047,GSM94048,GSM94049,GSM94050,GSM94051,GSM94052,GSM94053,GSM94054,GSM94055,GSM94056,GSM94057,GSM94058,GSM94059,GSM94060,GSM94061,GSM94062,GSM94063,GSM94064,GSM94065,GSM94066,GSM94067,GSM94068,GSM94069,GSM94070,GSM94071,GSM94072,GSM94073,GSM94074,GSM94075,GSM94155,GSM94156,GSM94157,GSM94160,GSM94161,GSM94162,GSM94163,GSM94164,GSM94165,GSM94166,GSM94167,GSM94168,GSM94169,GSM94170,GSM94171,GSM94172,GSM94173,GSM94174,GSM94175,GSM94176,GSM94177,GSM94178,GSM98767,GSM98768,GSM98769,GSM98770,GSM98771,GSM98772,GSM98773,GSM98774,GSM98775,GSM98776,GSM98777,GSM98778,GSM98779,GSM98780,GSM98781,GSM98782,GSM98783,GSM98784
CFL1,11.8436,11.5841,11.4681,11.8198,11.8655,11.674,11.3236,12.0809,11.4745,11.0888,11.8826,11.421,11.7011,12.1135,11.5736,11.5474,11.6117,11.7345,11.6497,11.5766,11.4335,11.6166,11.65,11.9006,11.5887,11.4215,11.7916,11.4426,11.5896,11.6447,11.6026,11.4205,11.9447,11.5934,10.5337,12.1322,11.7668,11.9332,10.3836,11.4774,12.1984,11.1597,11.6172,12.1829,11.2429,11.0104,11.6947,11.7396,12.0902,11.4426,11.7047,11.0917,11.9733,10.9577,11.7876,11.2697,11.5425,11.8992,10.8728,12.0692,11.8562,11.9281,11.714,11.7459,11.4794,11.6761,12.1522,11.5577,11.5883,11.3236,12.1049,11.5175,11.4381,11.9307,11.7999,11.7144,11.9162,11.8465,11.6376,11.8008,11.8442,11.5865,11.4907,12.0272,11.5733,11.5426,11.7783,11.8391,11.4525,11.717,11.9038,11.8492,12.0001,11.6032,11.9161,11.5976,12.1173
CNPPD1,6.82515,7.0524,6.25812,6.75384,6.3019,6.40776,6.45853,6.55815,6.51554,6.25392,6.43755,5.95465,6.58048,6.30033,6.46829,6.46212,6.14772,6.07565,6.1853,7.22807,7.2359,6.27076,6.65394,7.59305,7.24165,6.81846,6.19111,6.08638,6.84631,6.75352,6.34145,6.24863,6.4547,6.70281,6.37128,6.16321,6.33852,6.59501,5.96567,6.68599,6.44293,7.08649,6.39868,6.62376,6.62761,5.75248,6.35551,7.24967,6.42982,6.22079,5.95174,5.97219,6.68717,6.48033,6.21065,6.2827,6.95963,6.27547,6.7627,6.5932,6.43858,6.92402,6.22867,7.40795,6.47084,6.31693,6.56411,6.47138,6.77613,6.67357,6.51811,6.49663,6.13783,6.81412,6.51451,6.55127,6.58364,6.70851,6.55674,6.79234,6.0252,6.54223,5.81808,6.93975,6.5626,6.53873,6.96227,6.58871,6.54862,6.80995,6.42052,6.19741,6.37369,6.45657,6.59459,5.996,6.77464
CTDNEP1,8.01377,8.05694,7.89309,7.97716,7.82985,7.94505,8.06755,7.88729,7.88402,7.76261,7.77639,8.41764,7.70953,8.0925,8.10805,7.8905,7.82343,7.81168,7.99873,8.21476,8.10987,8.02613,8.29944,8.35455,8.04756,8.08972,7.8622,7.81466,7.88704,8.264,8.1287,7.58146,8.09377,8.19617,7.35205,7.81132,7.5502,7.90113,6.6048,8.14495,7.67953,7.5534,7.85999,7.77146,8.34272,7.40063,7.9649,7.9961,8.27556,8.07655,7.85814,7.45578,7.93976,8.04388,7.86066,7.73617,8.05082,7.72128,8.11515,8.1789,7.98112,8.27686,7.98097,8.25855,8.00962,7.96071,7.95082,7.82742,8.16509,8.18896,8.01976,7.87899,7.57655,8.0436,7.90192,8.27943,8.13406,8.18248,8.14818,8.15796,7.73773,8.23421,7.93607,8.48862,7.83306,7.91517,8.29581,7.90237,8.30722,8.14787,8.45131,8.0454,8.11312,7.92792,7.73259,8.01011,8.35402
CYP2A6,6.45376,6.18169,5.9684,6.27254,6.56567,6.29945,5.95085,6.3452,6.11985,6.64425,6.15423,5.9448,6.52793,6.12174,6.34608,6.45842,6.22898,6.2346,6.51399,6.68983,6.53431,6.0363,6.38792,6.07847,6.23089,6.45954,5.80485,5.85747,5.95596,6.31926,5.92043,5.8301,6.18808,6.26116,6.15699,5.56339,5.59158,6.6242,6.73001,5.67287,5.57144,6.43165,6.12799,6.3514,6.62802,6.5846,5.82371,6.21562,6.38828,6.57862,5.72345,6.33951,5.49577,6.17329,6.08527,6.11293,6.5822,5.65774,6.65443,5.70681,5.48146,5.98445,6.41246,6.22053,6.47792,6.53984,5.58635,6.41857,6.21047,6.87761,5.50805,5.65362,6.01568,6.23563,5.98203,6.17876,6.13722,6.21661,8.32539,6.59243,5.92822,6.67969,6.23909,6.77276,6.52583,5.84618,6.10289,5.74056,6.28807,6.09677,5.95025,6.30469,5.81242,6.36651,5.64092,6.4203,5.99226
CYP2E1,4.48763,4.35531,4.18549,4.65823,4.47962,4.58822,4.3832,5.07711,4.52515,4.99886,4.57049,4.914,4.97992,4.49477,4.95559,4.37089,4.69636,4.66376,4.4585,4.7026,4.56149,4.61114,4.05496,4.79593,4.33843,4.18132,4.332,4.37104,4.12507,3.95674,4.42084,3.93129,4.36086,4.03687,4.85364,4.20484,3.92951,4.28304,4.35252,4.15117,4.14663,4.70383,4.00283,4.74158,4.24682,4.50138,4.10249,4.15096,4.16396,4.39833,3.85832,4.33479,3.88514,4.09303,4.17881,4.16907,3.99314,3.917,5.54323,4.59075,4.05074,4.08412,4.38933,4.55045,4.24983,4.31019,4.2474,4.65934,4.42478,4.30366,4.24801,4.32739,4.10555,4.64482,4.08146,4.51295,4.19505,4.37814,4.38224,3.96117,4.17848,4.23335,4.42782,4.42471,4.30913,4.66253,4.53074,4.28244,4.36407,4.57635,4.47118,4.14825,4.22634,4.55194,4.00478,4.36249,4.4348
DAD1,8.15274,7.26293,8.99126,8.77474,9.0112,8.43139,9.40199,7.98683,9.06946,6.03959,8.57778,9.10168,8.16831,8.30272,8.01094,9.0725,8.26806,8.52836,9.0952,7.72154,6.7235,8.9778,9.14704,7.90356,8.40899,7.86964,9.08608,9.0498,8.34995,9.4151,9.22631,9.02594,8.73498,9.39216,6.12366,8.72211,9.12284,8.94761,7.61159,9.4622,9.46107,6.73614,9.25839,6.47737,8.84038,6.64725,8.94564,7.59602,8.99084,7.55727,9.01537,7.0039,9.05906,9.18179,8.66888,9.33172,9.15067,8.84103,6.6362,8.6484,9.45774,8.86222,8.96184,7.55813,9.23048,9.00946,9.10573,8.27931,9.40296,9.03905,9.08597,9.2206,9.21204,7.82084,8.7422,8.33929,8.60887,8.38248,7.83007,8.69505,8.87383,8.42162,9.01365,7.96099,8.62948,8.96468,8.92889,9.01644,8.86924,8.58293,8.86205,9.24903,8.95943,8.45733,9.14628,8.74731,9.40209
DDR1,10.3704,9.41573,10.1329,10.0533,10.3453,10.3128,9.88962,9.46184,10.0992,8.31227,10.0899,10.1098,9.64085,10.1042,9.8878,9.88987,9.2034,10.4044,10.1373,8.87287,8.2235,10.4489,10.0936,9.01783,9.31377,9.15032,9.88378,9.8262,9.38572,9.99398,10.2071,10.1585,10.3775,9.96093,6.67024,10.3334,10.4039,9.47536,8.04416,10.0474,9.83338,7.36267,10.2051,6.98379,9.64396,8.88259,10.3881,8.87733,10.5376,9.20188,10.5054,7.68389,10.2579,9.56883,10.1584,10.1563,10.3709,9.71886,6.99532,10.166,10.1666,10.4013,10.3789,9.46012,10.2747,10.4136,10.2428,9.59614,10.1554,9.67734,10.4521,10.1379,10.1192,9.46933,9.86813,10.1446,10.0881,10.2799,9.6109,10.2572,9.80906,10.6358,10.1393,9.77423,10.3957,9.95185,10.2476,10.2347,10.1009,9.94464,10.2124,10.6042,10.1529,10.0238,10.3673,10.465,10.6794
DDX39B,9.32699,8.47922,9.56802,8.98274,9.75075,9.28278,9.33969,8.85331,9.00191,7.42877,8.9826,9.02423,8.49243,9.21168,9.25618,9.29684,8.56933,9.03368,9.20524,8.5184,8.21857,9.35669,9.59135,8.52817,9.23757,8.93514,8.90434,9.28626,9.07961,9.58265,9.48919,9.53315,9.16136,9.52689,6.02767,9.56858,9.22335,9.34505,7.46527,9.24893,8.81361,7.18706,9.36215,7.39592,9.23316,7.04246,9.32818,7.92227,9.09722,7.75786,9.76491,7.13774,9.46553,8.80107,9.24057,9.4604,9.36767,9.51369,7.0394,9.63453,9.32072,9.25257,9.43812,9.24614,9.35005,9.00157,9.40788,8.87409,9.46261,9.13792,9.28263,9.33522,9.33611,9.0454,9.07755,9.08926,9.63368,9.11609,8.47487,9.36293,9.25982,8.84968,8.88021,9.59085,9.27055,8.89473,9.56569,9.56057,9.72395,9.20676,9.18562,9.24506,9.40468,9.18431,9.64317,9.08569,9.1549
DDX5,10.1888,7.72641,10.495,9.7961,9.94552,9.9581,9.91124,9.53617,10.0961,5.50333,10.0706,10.0033,8.23261,9.87415,9.22994,10.1374,9.53314,10.298,10.2936,6.74186,5.42874,9.65445,9.90042,6.66198,7.93996,7.9454,9.50783,10.0584,9.15136,9.90033,9.17361,10.1521,9.20443,9.96084,6.42057,9.86012,9.66564,9.55616,8.41267,9.80248,9.9324,5.69441,10.0066,5.97562,9.60855,7.70755,9.82201,6.76599,9.74848,6.88554,10.6018,5.69857,10.3999,9.54131,10.1188,9.89468,10.1921,9.731,5.014,9.77696,9.69123,9.69643,9.48219,8.01048,10.0905,9.80116,9.46425,8.84019,10.0055,9.59056,9.56185,9.73636,10.1214,8.54196,9.8895,9.35768,9.78627,9.80382,7.55502,10.375,10.5155,9.07182,9.97838,8.53332,9.84492,9.56531,9.36703,10.2178,9.8946,9.44195,9.66012,10.0924,9.9416,9.40238,10.1216,10.1256,9.70204
DTX2P1-UPK3BP1-PMS2P11,6.07906,5.32908,6.18184,6.14851,6.17949,5.94535,5.88826,5.32111,5.77345,5.6737,6.09673,5.90883,5.91329,6.11952,5.79075,5.7972,5.72347,6.22224,6.00432,6.1052,5.56515,6.16505,5.90947,5.08897,6.01173,5.75867,5.91873,6.23479,5.50536,5.84705,5.76155,5.80915,5.98029,5.94352,4.72039,6.7127,6.06334,5.84529,5.4819,5.77261,5.73844,5.39373,5.81781,5.72405,5.61481,4.89366,5.72098,5.21818,6.05902,5.32716,6.52008,5.67104,5.95818,5.57359,5.80902,6.12234,5.7861,6.23888,5.06288,5.86555,5.90389,5.75506,6.00982,5.67914,5.89373,6.19056,5.95725,5.56609,5.98675,5.33182,5.90753,6.00862,6.00611,5.61722,5.66613,5.95308,5.80015,5.99115,5.50828,6.54179,5.85022,5.97868,6.30546,6.02231,6.14257,5.80183,6.21697,6.1122,5.80818,5.87556,6.32824,6.49595,6.01394,5.76598,6.19868,6.43798,6.13628
EIF3D,9.11832,8.67556,9.0574,8.88614,9.28528,9.11719,9.53233,8.84785,9.35861,7.46419,8.86717,9.3867,9.18361,8.76573,8.90078,9.49456,9.12064,9.02634,9.37549,8.26665,8.58736,9.0481,9.79134,9.20143,8.86857,8.64754,8.93801,9.15696,9.19825,9.60084,9.1545,9.40394,8.95633,9.63975,7.18204,8.73131,9.17804,9.20395,7.50684,9.29128,8.8772,7.5789,9.54381,7.94824,9.65738,8.62944,9.3792,8.64088,9.11896,8.14475,9.41901,7.13309,9.34624,9.30806,9.25712,9.65399,9.62787,8.69573,7.16715,9.08125,8.99629,9.44334,9.29792,9.07312,9.27972,9.34335,8.86099,9.03155,9.52305,9.06262,9.08768,9.17663,9.3165,8.23717,9.2871,9.51053,9.05298,9.29915,8.54205,9.45203,9.39478,9.4458,9.05685,9.35401,9.36585,9.05269,9.5455,9.09203,9.62414,9.3225,9.12249,9.32057,9.15914,8.89539,9.48717,9.14097,9.6207
EIF3F,8.9009,8.81373,8.73368,8.73155,9.30341,9.15709,9.32872,9.18459,9.33654,7.74664,8.86188,9.18063,8.71109,8.9503,8.86571,8.87451,8.92265,8.82106,9.67819,8.73761,8.80785,8.95442,9.68138,8.77207,8.86531,8.64621,8.87028,8.89868,9.44815,9.74303,9.28206,9.55196,9.03296,9.42337,7.24059,8.77082,9.30326,9.17874,7.093,9.4234,8.71837,8.32201,9.54792,7.79517,9.72659,8.13491,9.06866,8.5161,9.13906,8.51001,9.2508,7.57378,8.89738,8.834,8.97421,9.46788,9.605,9.33368,7.92014,9.29982,8.83203,9.45085,9.28429,9.54099,9.45396,9.33424,9.09859,8.83608,9.47358,8.91436,9.08368,9.24922,9.06827,8.15513,9.12498,9.50731,8.99124,9.63564,8.41965,9.01823,9.25075,9.34826,9.19455,8.7153,9.28759,8.58776,9.56733,8.9631,9.42382,9.05701,9.01219,9.56172,9.21399,8.94834,9.36944,9.09706,9.43965
EIF4G2,9.58222,7.89711,10.1092,9.5827,9.5024,9.93468,10.0513,9.141,9.89389,5.48148,9.795,9.71507,8.94935,9.7437,9.12842,9.63657,9.30591,9.47861,10.2402,7.9219,5.60795,9.41924,9.93848,8.3258,8.82606,8.34959,9.95696,9.43797,9.55178,9.96327,9.50828,10.0521,9.37556,10.3389,5.44255,9.88344,9.99589,9.90516,7.97272,9.9934,10.1449,5.60991,9.86175,5.95665,9.42026,6.80725,9.99719,8.21353,10.1222,7.71114,10.0703,6.76903,10.2126,9.7964,9.82858,9.84567,10.2265,9.46033,5.07205,9.60688,9.8316,9.8094,9.29317,7.75938,9.78198,9.64903,9.82135,8.73068,9.69582,9.21591,9.73898,9.75541,10.2103,8.55269,9.63759,9.17322,9.4222,9.64026,8.00984,9.95676,9.88897,8.73707,9.85509,8.43429,9.62966,9.60152,9.43105,9.93737,9.57465,9.56408,9.71173,9.77361,9.71962,9.3954,10.2436,9.34787,10.206
EPHB3,6.91893,7.19961,6.81317,7.20998,7.3421,7.12953,6.57279,7.04956,6.57291,7.46702,7.22969,7.03307,7.28881,6.90266,7.14461,6.91021,6.68948,6.48154,6.63568,7.46582,7.61191,6.58763,6.44882,7.37579,7.10087,7.02133,6.23389,6.87682,6.83341,6.723,6.82291,6.79925,6.46229,6.0789,7.22244,6.3055,6.49926,6.70754,6.66231,6.39063,6.41974,7.04222,6.59204,7.4432,6.88807,6.90182,6.43727,7.1567,6.60883,7.10413,6.49556,6.44968,6.39378,6.4993,6.95442,6.66946,6.43237,6.4781,7.29682,6.97219,6.29799,6.65362,6.75446,7.22634,6.63256,6.48456,6.00987,6.80516,6.77422,6.85862,6.6817,6.51969,6.5109,6.85487,6.67965,7.01446,6.82591,6.79746,7.20936,6.89338,6.31883,7.17897,6.24726,7.07579,6.64945,7.07819,7.1795,6.7202,6.50365,7.00015,6.9486,6.69398,6.42939,6.79663,6.30727,6.45237,6.49367
ERH,8.64557,8.09057,9.6177,9.22402,9.17383,8.90081,9.83463,9.03227,9.41669,7.52138,8.91375,9.25196,8.30715,8.91738,8.37317,9.13718,8.97106,9.36262,9.47826,7.73203,7.38612,9.34508,9.45947,7.95111,8.69072,8.60156,9.46758,9.55082,9.00657,9.29224,9.39506,9.3428,8.84509,9.59283,6.60744,9.43069,9.03883,9.11243,7.87095,9.44119,9.25697,7.04059,9.14752,7.36402,9.09662,7.42999,9.45416,8.07872,9.2715,8.63788,9.36287,7.67085,9.64382,9.42419,9.14481,9.49847,9.52278,9.32676,7.13122,9.48335,9.41167,9.27115,9.44861,8.26758,9.51757,9.3876,9.5235,8.71361,9.45126,9.19818,9.25805,9.69974,9.69882,8.40759,9.07159,8.71667,9.24335,9.06028,8.22941,9.15326,9.24395,8.43036,9.3169,8.23576,9.09089,9.31111,8.99625,9.52367,9.18436,8.9291,9.23394,9.76184,9.38874,8.97997,9.38609,9.44477,9.54402
ESRRA,6.42144,6.30951,6.44261,6.57571,7.10143,6.67103,7.02961,6.84763,6.58567,7.69836,6.50264,6.84494,6.85997,6.84152,6.5744,6.95069,6.52036,6.56358,5.94955,6.5216,6.44712,6.11304,5.7725,6.10929,6.1039,6.15614,6.26102,6.07498,6.09001,6.09906,6.09012,5.68252,6.38748,6.09079,6.43276,6.10493,5.56329,5.73558,6.226,5.82045,6.08659,6.40114,5.96341,6.35205,6.12911,6.36854,5.78534,5.85957,6.23608,5.88119,5.75144,6.62509,5.55903,5.67329,5.79304,5.6795,5.61981,5.97862,6.71396,6.36809,5.96649,5.95629,6.10935,6.51807,5.92216,6.06838,6.21041,6.08124,6.19896,6.29899,6.18119,5.86655,6.139,6.38644,5.62555,6.24509,5.93558,6.0892,6.2314,5.73992,5.70869,5.90396,6.29192,6.15349,6.22688,6.54483,6.41885,5.73782,5.98651,6.22983,6.30392,6.03322,6.03259,6.41673,5.90137,6.10547,6.13053
